,ts,height,velocity,acceleration,lower_bound,upper_bound
0,64588,-0.13305720686912537,-0.014902199618518353,-0.024949731305241585,0.8857635383893185,-1.1518779521275693
1,64598,-0.13719816505908966,-0.020720001310110092,-0.025426052510738373,0.881594147070448,-1.1559904771886274
2,64608,-0.14041295647621155,-0.025124341249465942,-0.021292319521307945,0.8783509546409585,-1.1591768675933816
3,64618,-0.14445027709007263,-0.030618280172348022,-0.02174331806600094,0.8742852980449609,-1.1631858522251062
4,64628,-0.1458979696035385,-0.03242684155702591,-0.021879088133573532,0.8728093345850163,-1.1646052737920933
5,64638,-0.147323340177536,-0.034180328249931335,-0.02200993523001671,0.8713557251927815,-1.1660024055478535
6,64648,-0.15041658282279968,-0.03823752701282501,-0.02233681082725525,0.8682343087739361,-1.1690674744195355
7,64658,-0.15090467035770416,-0.03860682249069214,-0.02234923094511032,0.8677181125155029,-1.1695274532309112
8,64668,-0.15138289332389832,-0.03895733132958412,-0.02236003428697586,0.8672118129656612,-1.1699775996134578
9,64678,-0.15016664564609528,-0.03693920746445656,-0.02216953970491886,0.8684000491188191,-1.1687333404110096
10,64688,-0.15064796805381775,-0.037181682884693146,-0.0087078046053648,0.8678907473334552,-1.1691866834410907
11,64698,-0.14943324029445648,-0.03505498915910721,-0.008519994094967842,0.8690775607830972,-1.1679440413720101
12,64708,-0.1474122256040573,-0.031831443309783936,-0.008239520713686943,0.8710707262370501,-1.1658951774451647
13,64718,-0.14541535079479218,-0.028639238327741623,-0.0034736916422843933,0.8730397839684114,-1.1638704855579958
14,64728,-0.1451323926448822,-0.027924176305532455,-0.007898243144154549,0.8732949572015962,-1.1635597424913606
15,64738,-0.14484451711177826,-0.027166957035660744,-0.0033395271748304367,0.8735550799817853,-1.1632441142053418
16,64748,-0.14793282747268677,-0.031128674745559692,-0.0036714300513267517,0.8704390819571612,-1.1663047369025348
17,64758,-0.1509743332862854,-0.03492845594882965,0.000498427078127861,0.8673699535743555,-1.1693186201469263
18,64768,-0.15228281915187836,-0.03621669486165047,0.004877835512161255,0.8660339431639033,-1.17059958146766
19,64778,-0.15272702276706696,-0.03619346767663956,0.013851245865225792,0.8655622471852928,-1.1710162927194268
20,64788,-0.1531585454940796,-0.03610837459564209,0.01833477057516575,0.8651031984262636,-1.1714202894144228
21,64798,-0.15357670187950134,-0.035872090607881546,0.031803302466869354,0.8646576140463387,-1.1718110178053414
22,64808,-0.1539808213710785,-0.035575009882450104,0.036289095878601074,0.8642261316776025,-1.1721877744197595
23,64818,-0.15352681279182434,-0.033951617777347565,0.04985908418893814,0.8646528425022919,-1.1717064680859406
24,64828,-0.1539362370967865,-0.03333096578717232,0.07230903208255768,0.8642161526407404,-1.1720886268343134
25,64838,-0.15431852638721466,-0.030674003064632416,0.274431049823761,0.8638066299942855,-1.1724436827687148
26,64848,-0.15462185442447662,-0.019246218726038933,1.1503174304962158,0.8634761666673765,-1.1727198755163297
27,64858,-0.15469825267791748,0.0142839839681983,3.3602564334869385,0.8633725994685406,-1.1727691048243756
28,64868,-0.15600910782814026,0.07189736515283585,6.005698204040527,0.8620346734479694,-1.1740528891042499
29,64878,-0.15573866665363312,0.15343549847602844,8.273935317993164,0.8622780430322654,-1.1737553763395316
30,64888,-0.15462052822113037,0.24822066724300385,9.603391647338867,0.8633692079599979,-1.1726102644022587
31,64898,-0.1551658660173416,0.33936405181884766,9.602983474731445,0.8627969288802757,-1.173128660914959
32,64908,-0.15650060772895813,0.4281322658061981,9.602377891540527,0.861435278108966,-1.1744364935668823
33,64918,-0.1560676395893097,0.5181214809417725,9.601875305175781,0.8618414023530248,-1.1739766815316441
34,64928,-0.1581621766090393,0.6033276915550232,9.600975036621094,0.8597200536683676,-1.1760444068864462
35,64938,-0.15773820877075195,0.6793850660324097,8.445893287658691,0.8601173079538622,-1.1755937254953661
36,64948,-0.15578807890415192,0.7417834401130676,6.963010787963867,0.8620407235665555,-1.1736168813748593
37,64958,-0.14914433658123016,0.7953080534934998,5.4985761642456055,0.8686578168167807,-1.166946489979241
38,64968,-0.1422070413827896,0.8351132869720459,4.150907039642334,0.875568528128855,-1.1599826108944342
39,64978,-0.1360163390636444,0.858468234539032,2.654886245727539,0.8817327117530722,-1.153765389880361
40,64988,-0.13234055042266846,0.8649203777313232,1.3382266759872437,0.8853819480643592,-1.1500630489096961
41,64998,-0.126236692070961,0.8662312626838684,0.4889882802963257,0.8914593522274845,-1.1439327363694065
42,65008,-0.1195024698972702,0.8631362318992615,-0.04126216843724251,0.8981671524703994,-1.1371720922649398
43,65018,-0.11045823991298676,0.8572803139686584,-0.6475980281829834,0.9071850257305576,-1.128101505556531
44,65028,-0.10344269871711731,0.8414531350135803,-1.3754338026046753,0.9141742424668358,-1.1210596399010704
45,65038,-0.09680795669555664,0.8184004426002502,-2.0718493461608887,0.9207827252438778,-1.1143986386349911
46,65048,-0.09061422199010849,0.7880496382713318,-2.777268409729004,0.926950232976046,-1.108178676956263
47,65058,-0.08410464972257614,0.7516908049583435,-3.4691364765167236,0.9334336105440322,-1.1016429099891845
48,65068,-0.07810376584529877,0.7139241099357605,-3.5905673503875732,0.9394083319979898,-1.0956158636885873
49,65078,-0.06930110603570938,0.6788917183876038,-3.7610418796539307,0.948184861662976,-1.0867870737343948
50,65088,-0.06108836829662323,0.6421002149581909,-3.904592990875244,0.9563715344909316,-1.078548271084178
51,65098,-0.051752518862485886,0.6070314049720764,-3.9401707649230957,0.965681384252425,-1.0691864219773968
52,65108,-0.04301461949944496,0.5716215372085571,-3.93984317779541,0.9743933491863097,-1.0604225881851996
53,65118,-0.03485308215022087,0.5371538996696472,-3.813772678375244,0.9825289844000653,-1.052235148700507
54,65128,-0.025553463026881218,0.5062272548675537,-3.6650750637054443,0.9918027336840907,-1.042909659737853
55,65138,-0.015940871089696884,0.47617214918136597,-3.6645350456237793,1.0013895210370434,-1.0332712632164371
56,65148,-0.006071638315916061,0.4458726942539215,-3.7672417163848877,1.0112329815293424,-1.0233762581611745
57,65158,0.0032291559036821127,0.4147631525993347,-3.8115861415863037,1.0205080687307966,-1.0140497569234324
58,65168,0.013624428771436214,0.3856174945831299,-3.8108534812927246,1.0308776668897282,-1.0036288093468557
59,65178,0.022635454311966896,0.35495638847351074,-3.8102455139160156,1.0398630500332051,-0.9945921414092713
60,65188,0.031049322336912155,0.3193020522594452,-4.272319793701172,1.0482513079753089,-0.9861526633014845
61,65198,0.03885860741138458,0.2833077013492584,-4.271771430969238,1.0560349823221384,-0.9783177674993693
62,65208,0.04446803033351898,0.24341723322868347,-4.406184196472168,1.061618859796347,-0.972682799129309
63,65218,0.04953102767467499,0.20247702300548553,-4.491204261779785,1.0666563769742123,-0.9675943216248624
64,65228,0.05321279540657997,0.15960624814033508,-4.549384117126465,1.0703127298323687,-0.9638871390192087
65,65238,0.057208091020584106,0.11589810997247696,-4.737739086151123,1.0742826099375522,-0.959866427896384
66,65248,0.06486218422651291,0.0797271728515625,-4.552817344665527,1.0819113529306963,-0.9521869844776705
67,65258,0.06945913285017014,0.040299586951732635,-4.502952575683594,1.0864829836760908,-0.9475647179757505
68,65268,0.07270704209804535,-9.671971201896667e-05,-4.466672897338867,1.0897056403498568,-0.9442915561537661
69,65278,0.07544919103384018,-0.040809888392686844,-4.484304904937744,1.0924225690525273,-0.941524186984847
70,65288,0.08024074882268906,-0.07858886569738388,-4.533102512359619,1.0971889389516432,-0.936707441306265
71,65298,0.0845247358083725,-0.11854992061853409,-4.734633922576904,1.1014478033630533,-0.9323983317463083
72,65308,0.08832576125860214,-0.15862131118774414,-4.734046459197998,1.1052237385888322,-0.9285722160716279
73,65318,0.09076686203479767,-0.20002299547195435,-4.733566761016846,1.1076398144640849,-0.9261060903944895
74,65328,0.08766332268714905,-0.25226783752441406,-5.106478691101074,1.104511315543824,-0.9291846701695259
75,65338,0.08494332432746887,-0.31507211923599243,-6.296781063079834,1.1017663240259497,-0.9318796753710119
76,65348,0.0825280025601387,-0.3765772879123688,-6.296663284301758,1.0993261074072418,-0.9342701022869644
77,65358,0.08039891719818115,-0.4368261694908142,-6.296444892883301,1.0971721595589004,-0.936374325162538
78,65368,0.07774241268634796,-0.49696841835975647,-6.296217918395996,1.0944907919527223,-0.9390059665800263
79,65378,0.07457400113344193,-0.5569837689399719,-6.295980930328369,1.0912976156258685,-0.9421496133589846
