,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
0,-0.032,0,0,0,0,0,0
1,-0.022,0,0,0,0,0,0
2,-0.012,0,0,0,0,0,0
3,-0.002,0,0,0,0,0,0
4,0.008,0,0,0,0,0,0
5,0.018,0,0,0,0,0,0
6,0.028,0,0,0,0,0,0
7,0.038,0,0,0,0,0,0
8,0.048,0,0,0,0,0,0
9,0.058,0,0,0,0,0,0
10,0.068,0,0,0,0,0,0
11,0.078,0,0,0,0,0,0
12,0.088,0,0,0,0,0,0
13,0.098,0,0,0,0,0,0
14,0.108,0,0,0,0,0,0
15,0.118,0,0,0,0,0,0
16,0.128,0,0,0,0,0,0
17,0.138,0,0,0,0,0,0
18,0.148,0,0,0,0,0,0
19,0.158,0,0,0,0,0,0
20,0.168,0,0,0,0,0,0
21,0.178,0,0,0,0,0,0
22,0.188,0,0,0,0,0,0
23,0.198,0,0,0,0,0,0
24,0.208,0,0,0,0,0,0
25,0.218,0,0,0,0,0,0
26,0.228,0,0,0,0,0,0
27,0.238,0,0,0,0,0,0
28,0.248,0,0,0,0,0,0
29,0.258,0,0,0,0,0,0
30,0.268,0,0,0,0,0,0
31,0.278,0,0,0,0,0,0
32,0.288,0,0,0,0,0,0
33,0.298,0,0,0,0,0,0
34,0.308,0,0,0,0,0,0
35,0.318,0,0,0,0,0,0
36,0.328,0,0,0,0,0,0
37,0.338,0,0,0,0,0,0
38,0.348,0,0,0,0,0,0
39,0.358,0,0,0,0,0,0
40,0.368,0,0,0,0,0,0
41,0.378,0,0,0,0,0,0
42,0.388,0,0,0,0,0,0
43,0.398,0,0,0,0,0,0
44,0.408,0,0,0,0,0,0
45,0.418,0,0,0,0,0,0
46,0.428,0,0,0,0,0,0
47,0.438,0,0,0,0,0,0
48,0.448,0,0,0,0,0,0
49,0.458,0,0,0,0,0,0
50,0.468,0,0,0,0,0,0
51,0.478,0,0,0,0,0,0
52,0.488,0,0,0,0,0,0
53,0.498,0,0,0,0,0,0
54,0.508,0,0,0,0,0,0
55,0.518,0,0,0,0,0,0
56,0.528,0,0,0,0,0,0
57,0.538,0,0,0,0,0,0
58,0.548,0,0,0,0,0,0
59,0.558,0,0,0,0,0,0
60,0.568,0,0,0,0,0,0
61,0.578,0,0,0,0,0,0
62,0.588,0,0,0,0,0,0
63,0.598,0,0,0,0,0,0
64,0.608,0,0,0,0,0,0
65,0.618,0,0,0,0,0,0
66,0.628,0,0,0,0,0,0
67,0.638,0,0,0,0,0,0
68,0.648,0,0,0,0,0,0
69,0.658,0,0,0,0,0,0
70,0.668,0,0,0,0,0,0
71,0.678,0,0,0,0,0,0
72,0.688,0,0,0,0,0,0
73,0.698,0,0,0,0,0,0
74,0.708,0,0,0,0,0,0
75,0.718,0,0,0,0,0,0
76,0.728,0,0,0,0,0,0
77,0.738,0,0,0,0,0,0
78,0.748,0,0,0,0,0,0
79,0.758,0,0,0,0,0,0
80,0.768,0,0,0,0,0,0
81,0.778,0,0,0,0,0,0
82,0.788,0,0,0,0,0,0
83,0.798,0,0,0,0,0,0
84,0.808,0,0,0,0,0,0
85,0.818,0,0,0,0,0,0
86,0.828,0,0,0,0,0,0
87,0.838,0,0,0,0,0,0
88,0.848,0,0,0,0,0,0
89,0.858,0,0,0,0,0,0
90,0.868,0,0,0,0,0,0
91,0.878,0,0,0,0,0,0
92,0.888,0,0,0,0,0,0
93,0.898,0,0,0,0,0,0
94,0.908,0,0,0,0,0,0
95,0.918,0,0,0,0,0,0
96,0.928,0,0,0,0,0,0
97,0.938,0,0,0,0,0,0
98,0.948,0,0,0,0,0,0
99,0.958,0,0,0,0,0,0
100,0.968,0,0,0,0,0,0
101,0.978,0,0,0,0,0,0
102,0.988,0,0,0,0,0,0
103,0.998,0,0,0,0,0,0
104,1.008,0,0,0,0,0,0
105,1.018,0,0,0,0,0,0
106,1.028,0,0,0,0,0,0
107,1.038,0,0,0,0,0,0
108,1.048,0,0,0,0,0,0
109,1.058,0,0,0,0,0,0
110,1.068,0,0,0,0,0,0
111,1.078,0,0,0,0,0,0
112,1.088,0,0,0,0,0,0
113,1.098,0,0,0,0,0,0
114,1.108,0,0,0,0,0,0
115,1.118,0,0,0,0,0,0
116,1.128,0,0,0,0,0,0
117,1.138,0,0,0,0,0,0
118,1.148,0,0,0,0,0,0
119,1.158,0,0,0,0,0,0
120,1.168,0,0,0,0,0,0
121,1.178,0,0,0,0,0,0
